Contrast:,Hillsboro_Fort,Lauderdale,,,,,,,
,,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,,
74f8324925049e692ded7c8f8131a7de,0.0283417,0.0252385,1.123,0.016,0.055,0.03959,0.003,,
6cbb4ad4bea065572ee15c90299997ed,0.025735,0.0345728,0.7444,0.048,0.03,0.07554,0.018,,0.03595
91d688c973fa105eac82ae34536569bc,0.024901,0.0264802,0.9404,0.043,0.036,0.11032,0.429,,0.03478
cb493cf3102179d939b8a47f700a786f,0.0246454,0.020986,1.1744,0.023,0.047,0.14474,0.026,,0.03442
f2d7b7ec22817e0585e8d3f87e4f6f6e,0.0235261,0.0365375,0.6439,0.029,0.042,0.1776,0.624,,0.03286
5c2b47983d92cc3cc09bc005906b2212,0.0233098,0.0171223,1.3614,0.039,0.052,0.21016,0.065,,
f68daaca652da726aaabf841a3a3a4ba,0.0219289,0.0212152,1.0336,0.029,0.041,0.24079,0.079,,
adbb1498f1dcfeed13db8c9f228f5eb4,0.0207947,0.028732,0.7237,0.033,0.028,0.26984,0.037,,
460704bd2880b6e0c87caa2070b20097,0.016378,0.0113509,1.4429,0.02,0.04,0.29272,0.003,,
c2556d10d86d2961efe7110b18d380c7,0.0160248,0.0153868,1.0415,0.042,0.038,0.3151,0.252,,
2d9c0927c41fe00977c4cc751b5c52b4,0.0145223,0.0123011,1.1806,0.02,0.032,0.33539,0.013,,
e6e36c7acbdc33af814292da08b44b99,0.0142668,0.0215044,0.6634,0.023,0.011,0.35531,0.115,,
787a3df59922afc90301151ea01b7c7b,0.0132896,0.0248173,0.5355,0.014,0.018,0.37388,0.91,,
dc83596d4d0bd0e144aead7a53486fcd,0.0128136,0.0124341,1.0305,0.014,0.024,0.39178,0.349,,
71d02c5aa4d978c87190eca2004dce60,0.0123839,0.0378471,0.3272,0.025,0,0.40907,0.001,,
5a5cd60c401650043551c33f344c8522,0.0119391,0.0131409,0.9085,0.027,0.02,0.42575,0.063,,
3b617940a8ae4d46db58d0a83793f0e8,0.0116551,0.0292628,0.3983,0.016,0.009,0.44203,0.287,,
f6334d26ed150d46dab2e4dbb7dcde62,0.0115545,0.0108951,1.0605,0.014,0.025,0.45817,0.012,,
5c1a02107d6f21edc9e94690ac5a721c,0.0112957,0.0243215,0.4644,0.011,0.016,0.47395,0.641,,
e36bdf6700966998f0c6929b13db80ab,0.0106512,0.0087343,1.2195,0.01,0.023,0.48883,0.028,,
e65fd9bdecd6971a6df6257338244e89,0.0101752,0.0073163,1.3908,0.013,0.025,0.50304,0.007,,
bc17a57fdb7451088e326bb258fe96cd,0.0092424,0.0158677,0.5825,0.016,0.007,0.51595,0.079,,
02c9292683676d5a105454964336f5c5,0.0089031,0.0192889,0.4616,0.018,0.001,0.52838,0.002,,
3df21f1a76bbc0b6441d81b9c20d5436,0.0076702,0.0117733,0.6515,0.012,0.006,0.5391,0.079,,
6cc87325b7815ff69cb113006fa5dfd5,0.0073512,0.0145898,0.5039,0.002,0.014,0.54937,0.092,,
71cd8596df4c7dd9ad798c07c7800f87,0.0070999,0.0091935,0.7723,0.015,0.005,0.55928,0.001,,
3e419195da70fbb707bf9446d00d2b93,0.0069178,0.007466,0.9266,0.014,0.008,0.56895,0.051,,
ac6639741476abec934aac289e8e7564,0.0068427,0.0092026,0.7436,0.011,0.007,0.5785,0.278,,
fa73781222ed3d0cecfdd7d5a9c64c50,0.0064381,0.0076832,0.8379,0.009,0.008,0.5875,0.485,,
f427cc77a3175ac760d5b1556b65ba17,0.0063803,0.0047029,1.3567,0.006,0.015,0.59641,0.001,,
c94a7d7e3f2dce0b4d4c4f6f849eb878,0.0062525,0.0117501,0.5321,0.011,0.003,0.60514,0.051,,
a50e46127e32d57c3f21c21f1d4a7297,0.0058053,0.0079413,0.731,0.012,0.007,0.61325,0.168,,
b95192f739d4edba244aa50a65ad657d,0.0055883,0.0048586,1.1502,0.003,0.011,0.62106,0.006,,
f66cfb35942df465eef4c123275766fc,0.0054753,0.0097201,0.5633,0.008,0.005,0.62871,0.276,,
61d1a23dc17dfa7ed4b837b043abf54d,0.0050842,0.0136087,0.3736,0.003,0.008,0.63581,0.917,,
57b76aadd6cd9eb434c84c4f8ea4265f,0.0050089,0.0136596,0.3667,0.01,0,0.6428,0.021,,
305fad7794af19b61bd043d53cde28ec,0.0049768,0.0043618,1.141,0.002,0.01,0.64976,0.002,,
d1bf9c378fd51fc97553c2ef96454fa0,0.0049658,0.0045773,1.0849,0.002,0.01,0.65669,0.002,,
94a4cfe2e93c0e96a8c4a484650b6dfd,0.0049188,0.0063308,0.777,0.008,0.006,0.66356,0.415,,
2ae0f52560c00c969f820ae6b6fb115f,0.0048913,0.0108838,0.4494,0.005,0.006,0.67039,0.736,,
7685cb95fa77d91b70afb46485ac20a6,0.0048868,0.0083772,0.5833,0.009,0.003,0.67722,0.04,,
b89294ba58e3a73fc19e560bc01665bd,0.0044945,0.0099368,0.4523,0.009,0.001,0.6835,0.016,,
bdafcd6a04c4a4b48d6ed4003175ba11,0.0040733,0.0101548,0.4011,0.003,0.006,0.68919,0.878,,
433ffe3e8472a48735636d27a91aa287,0.00402,0.008663,0.464,0.004,0.005,0.6948,0.705,,
522fccaf4e20abef717533bd224bd68d,0.003854,0.0050997,0.7557,0.007,0.002,0.70019,0.017,,
9f961d0b7eadbbc47c9e1fc80a391778,0.0036212,0.004197,0.8628,0.007,0.004,0.70524,0.074,,
8aca4a6dbf73163d249df1b1a6d544b8,0.0035271,0.0076582,0.4606,0.005,0.003,0.71017,0.193,,
b0475c2d42ad84a03f80d70d9abfc717,0.0034216,0.0058714,0.5828,0.004,0.004,0.71495,0.719,,
6bd60643c27bb01d3c586791409c405a,0.0031581,0.0056136,0.5626,0.006,0.002,0.71936,0.022,,
aec7654d709c1b1fb41185801f97bf7a,0.0030696,0.009227,0.3327,0.006,0,0.72365,0.001,,
942d4f79ab6da48e55cc43660fbe0888,0.0030469,0.0083094,0.3667,0.003,0.004,0.72791,0.698,,
72fe0ee9b7d7514b96a0c6354c477740,0.0030138,0.0028825,1.0455,0.007,0.006,0.73212,0.058,,
a43d008f9f946bca0a7a5c804d664b0f,0.0028809,0.0044456,0.648,0.005,0.002,0.73614,0.074,,
35ba0ce07309312135a5e61c896e5c8a,0.0027083,0.0023568,1.1492,0.002,0.005,0.73992,0.006,,
1917ecc6a185cc9f86b3d6edfa1045fa,0.0026983,0.0032695,0.8253,0.002,0.005,0.74369,0.027,,
e714cf26ae84fcc0cad46d5bd7186a39,0.0026864,0.0052123,0.5154,0.002,0.005,0.74744,0.22,,
72b5e7b223e0904d6dd5bfea86bdae1c,0.0025936,0.0030171,0.8597,0.004,0.005,0.75107,0.075,,
66ea5d31c57c6bc8657f13ced8b9261f,0.0024985,0.0035611,0.7016,0.001,0.005,0.75456,0.027,,
7989777e7b4a4a1a5e64e05489f0da27,0.0024593,0.0046883,0.5246,0.005,0.001,0.75799,0.047,,
06df666ee210020e2bb0dd5c0d82a206,0.002458,0.0093931,0.2617,0.005,0,0.76142,0.055,,
ebd2450897a18d4158d92b6d6e950b26,0.0024218,0.0060133,0.4027,0.004,0.001,0.76481,0.025,,
f3b32ae8d911bb4d51354311513f7ab9,0.0023917,0.0066344,0.3605,0.004,0.001,0.76815,0.018,,
8758879d625c1989b6a1f2ab09ea505f,0.0023578,0.0043025,0.548,0.003,0.004,0.77144,0.774,,
baa4ef1d1a13fc40f49ed5be9bae17f2,0.0023269,0.0035973,0.6468,0.004,0.003,0.77469,0.203,,
334e1b08a0d169bc507c922d0ae22e75,0.0023251,0.0021641,1.0744,0.006,0.005,0.77794,0.338,,
832ea17f4c3cc9a97b06ee99684e1454,0.0022044,0.0046172,0.4774,0.001,0.004,0.78102,0.79,,
6ed2cbded69eb8ff12800f4d189b88c1,0.0021917,0.0039107,0.5604,0.001,0.004,0.78408,0.047,,
c959f58c1b8be9807e157b0fa54f1a27,0.0021499,0.0056107,0.3832,0,0.004,0.78708,0.32,,
de64bf9fc57519eb73e7ede2e89fbc08,0.0021227,0.0039076,0.5432,0.005,0.004,0.79005,0.196,,
1b926b7a41ac4a734571c261084ad062,0.0021076,0.0103644,0.2034,0.004,0,0.79299,0.441,,
5511e72b743af21ea2dc91d537bb4dfb,0.002047,0.004233,0.4836,0.001,0.004,0.79585,0.417,,
395cf5f8cfe9f18126ca772f04bd9b66,0.0020403,0.0071331,0.286,0,0.004,0.7987,0.87,,
f847aebbbd18d2ea04d02b4369306c48,0.0019144,0.0035505,0.5392,0.003,0.001,0.80138,0.026,,
910e041c32e22a8da7c7aaa0191c9ac4,0.0018955,0.0060314,0.3143,0.001,0.003,0.80402,0.95,,
dc8a27d3628bd0f7ea10d0f820db0d87,0.0018043,0.0014355,1.2569,0.003,0.005,0.80654,0.06,,
68ee821533667d5f2a9897a1f730140f,0.0017831,0.0034912,0.5108,0.003,0,0.80903,0.005,,
8e23e10f656b2e30c4978fd8fc5959d5,0.0017529,0.0043569,0.4023,0.004,0,0.81148,0.001,,
85feda73cf45ba235f7adafc232dff67,0.001714,0.001207,1.42,0.004,0.005,0.81388,0.004,,
bb3c28a8b55d7a8b86ebfe7f7387e6f3,0.0016786,0.0034258,0.49,0.004,0.002,0.81622,0.056,,
016a38c286f8bd0508e89e6f23300f08,0.0016636,0.0034868,0.4771,0.003,0.001,0.81855,0.075,,
a7a147ba43fb5888f6b2452b85ca8569,0.0016081,0.0016578,0.97,0.003,0.002,0.82079,0.081,,
d84619712b26f7e0c06943ebbebefc3c,0.0015805,0.0032806,0.4818,0.003,0.001,0.823,0.053,,
36d880a44d943ae31cc982dbc4a29154,0.0015716,0.0039799,0.3949,0.003,0,0.82519,0.028,,
d3c25a17251d966efda9c704331bde28,0.0015661,0.0036246,0.4321,0.003,0,0.82738,0.009,,
5dd02d0f89c239fd1e9b6abf2a561130,0.0015276,0.0015174,1.0067,0.003,0.004,0.82952,0.075,,
081f42427bf6cf3bb2471f4efec3520e,0.0015227,0.0014223,1.0706,0.002,0.003,0.83164,0.03,,
ab7d7e099c66897d370e6497b7fb908c,0.0014448,0.0061594,0.2346,0.003,0,0.83366,0.107,,
5e4f944bf86157726cb89b516d622ffd,0.0014425,0.0015278,0.9442,0.003,0.003,0.83568,0.728,,
61e3a05af55019d8d29ea8ddbfee780d,0.0014308,0.0026728,0.5353,0.002,0.002,0.83767,0.212,,
e80b7ee7b8da33d2126ee5c1d716faa5,0.0014195,0.0053005,0.2678,0,0.003,0.83966,0.735,,
dd7386872132054a57c15a92a42c1b0e,0.0014014,0.0025123,0.5578,0.003,0.001,0.84161,0.01,,
288f1ad728f173c18a3dd1760fd34178,0.0013943,0.0026379,0.5286,0.003,0,0.84356,0.016,,
bde1bc5d378347f4858e3c03b4ddd5c7,0.0013896,0.002085,0.6665,0.001,0.002,0.8455,0.823,,
3ce1a6014257a94a37b9654e002e7ac7,0.0013636,0.0011203,1.2172,0.001,0.003,0.84741,0.001,,
8dbddf131569936e06e1820a3d307e7e,0.001337,0.005036,0.2655,0,0.003,0.84928,0.869,,
cf1d17620411b1db17bdf391848911d5,0.0013269,0.0048125,0.2757,0,0.003,0.85113,0.868,,
e2f013c43b62b3b3b617043ac278654c,0.0012878,0.0039641,0.3249,0.003,0,0.85293,0.092,,
fe81b53d077a7fa4f3813377bd51caf4,0.0012646,0.0023175,0.5457,0.002,0.001,0.85469,0.036,,
487a17641df6be05e49d9e1ec726d2b5,0.0012325,0.0039485,0.3121,0,0.002,0.85642,0.705,,
c39e740778882bfb46217540ed1dcc86,0.0011907,0.0037445,0.318,0,0.002,0.85808,0.556,,
ca9895ffec4072e8a8056f95071a6ae0,0.0011467,0.00168,0.6826,0.002,0.002,0.85968,0.001,,
c59eb2f234eb64bf2151aa2ce2940b76,0.001136,0.0044907,0.253,0.002,0,0.86127,0.099,,
e314931f1c7cad13aec2759b85ee4273,0.0011352,0.0025499,0.4452,0.002,0,0.86285,0.002,,
3d941b5eca71d65013eac7774ae32654,0.0011265,0.002907,0.3875,0.002,0.001,0.86443,0.17,,
700f7ae7cd3b3c89de9523dc050adf74,0.0011214,0.0020998,0.534,0.002,0,0.86599,0.007,,
d542df649008db286bd71629af2ce256,0.0010794,0.0023702,0.4554,0.001,0.001,0.8675,0.473,,
26a53ae6919bec73c0d36491e784ff01,0.0010503,0.001683,0.6241,0.002,0.002,0.86897,0.648,,
c72b061874d0c49c72ef59e422d3e8ae,0.0010323,0.003262,0.3164,0.002,0,0.87041,0.017,,
e0ebea8fc0446d4854b48dd95db67e21,0.0009664,0.0035311,0.2737,0,0.002,0.87176,0.802,,
ce010c0260db672aa8e0a11f91c06d68,0.0009489,0.0052805,0.1797,0,0.002,0.87309,0.663,,
5706949b5f1a8ddea1d85d40559db204,0.0009265,0.0031255,0.2964,0,0.002,0.87438,0.744,,
00ab5fe45e4f5ec27a416999628a69f9,0.0009051,0.0022393,0.4042,0.001,0.001,0.87564,0.229,,
2da70b067d7a320d72917907794bec11,0.0009004,0.0014979,0.6011,0.002,0.001,0.8769,0.074,,
1233469547a3370da46025c54bac53d6,0.0008811,0.0011962,0.7366,0.001,0.001,0.87813,0.387,,
d1099e14450efe720a6b5844b64c63b6,0.0008695,0.0006154,1.413,0.002,0.002,0.87935,0.015,,
062daff76602f04235c2d39d58315162,0.0008402,0.0005946,1.413,0.002,0.003,0.88052,0.134,,
431a3c26bf79bcbb3d8a927d94e0b0ab,0.0008056,0.0013387,0.6018,0.001,0.001,0.88165,0.098,,
7d96cef884086160e9fe266b8f267019,0.0008038,0.0009655,0.8326,0.002,0.001,0.88277,0.006,,
d1f0127aea231d51e8b758009c917a61,0.0007814,0.0019769,0.3952,0.002,0,0.88386,0.003,,
92351377ba9cb1bf18ad6350beefbf36,0.0007694,0.0007569,1.0165,0.001,0.001,0.88493,0.274,,
d24ee54b00141716673192d175ce8468,0.0007557,0.00281,0.2689,0.001,0,0.88599,0.015,,
c2a453763d70e65c9dd81be33a6b0255,0.000751,0.0020563,0.3652,0.001,0,0.88704,0.255,,
d3c961ccb0b69d12dabf8b5b0c8c4785,0.0007484,0.0030835,0.2427,0,0.001,0.88808,0.762,,
79d854fe89f681bdba8de068e87f48bb,0.000743,0.0032021,0.232,0,0.001,0.88912,0.864,,
de77152b460fc856862ab52d201b058a,0.0007406,0.0033659,0.22,0.001,0,0.89016,0.021,,
