Contrast:,Hillsboro_Fort,Lauderdale,,,,,,,,,,,
,,,,,,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,,%,,,,
74f8324925049e692ded7c8f8131a7de,0.0376241,0.0345102,1.0902,0.000,0.075,0.04407,0.053,,4.41,,,,
cb493cf3102179d939b8a47f700a786f,0.0314907,0.0288933,1.0899,0.000,0.063,0.08095,0.053,,3.69,,,,
5c2b47983d92cc3cc09bc005906b2212,0.027497,0.0251771,1.0921,0.000,0.055,0.11315,0.041,,3.22,,,,
460704bd2880b6e0c87caa2070b20097,0.0219882,0.0201218,1.0928,0.000,0.044,0.1389,0.053,,2.58,,,,
2d9c0927c41fe00977c4cc751b5c52b4,0.0163646,0.014456,1.132,0.001,0.033,0.15807,0.052,,1.92,,,,
e65fd9bdecd6971a6df6257338244e89,0.0137301,0.0126371,1.0865,0.000,0.027,0.17415,0.053,,,,,,
e36bdf6700966998f0c6929b13db80ab,0.0132916,0.0121221,1.0965,0.000,0.027,0.18972,0.047,,,,,,
6cbb4ad4bea065572ee15c90299997ed,0.0107945,0.0085081,1.2687,0.005,0.023,0.20236,0.043,,,,,,
f6334d26ed150d46dab2e4dbb7dcde62,0.0096942,0.0085798,1.1299,0.001,0.020,0.21371,0.043,,,,,,
a62a51e3a2eadb103c0068a5f2ff3f3c,0.0083569,0.0054286,1.5394,0.016,0.012,0.2235,0.238,,,,,,
f427cc77a3175ac760d5b1556b65ba17,0.007461,0.0068518,1.0889,0.000,0.015,0.23224,0.053,,,,,,
b95192f739d4edba244aa50a65ad657d,0.0073496,0.0068341,1.0754,0.000,0.015,0.24085,0.053,,,,,,
adbb1498f1dcfeed13db8c9f228f5eb4,0.0071451,0.0062231,1.1482,0.001,0.014,0.24922,0.04,,,,,,
31739534355ac74cd21dbc6125cbfd0e,0.0070861,0.0058952,1.202,0.016,0.006,0.25752,0.037,,,,,,
305fad7794af19b61bd043d53cde28ec,0.0069562,0.0063907,1.0885,0.000,0.014,0.26566,0.053,,,,,,
d1bf9c378fd51fc97553c2ef96454fa0,0.0065337,0.0060105,1.087,0.000,0.013,0.27332,0.053,,,,,,
c2556d10d86d2961efe7110b18d380c7,0.0060472,0.0055236,1.0948,0.000,0.012,0.2804,0.053,,,,,,
dd026354b60cdddc45600d6e21d1ad06,0.0052808,0.0027716,1.9053,0.014,0.004,0.28658,0.002,,,,,,
3d7e76af82b4e3217c5fb4ea8ad5d444,0.0051094,0.0028954,1.7647,0.013,0.007,0.29257,0.067,,,,,,
f2d7b7ec22817e0585e8d3f87e4f6f6e,0.0049357,0.004288,1.1511,0.001,0.010,0.29835,0.052,,,,,,
027c917c419e09b5b66c2747642eb31e,0.0047363,0.0040812,1.1605,0.011,0.004,0.30389,0.064,,,,,,
c589cbdd8688b77dc94a210eaab642fe,0.0041449,0.0025638,1.6167,0.011,0.004,0.30875,0.015,,,,,,
71397d31834db03b16bd61f99127825b,0.0040959,0.0029115,1.4068,0.009,0.003,0.31355,0.011,,,,,,
35ba0ce07309312135a5e61c896e5c8a,0.0035908,0.0033194,1.0818,0.000,0.007,0.31775,0.053,,,,,,
73e30b1f1823f15a6c68c6995d652764,0.0035431,0.0026818,1.3212,0.007,0.004,0.3219,0.16,,,,,,
bbb6e6c8975ab0d16bb98dec11037d50,0.0035273,0.0027181,1.2977,0.006,0.006,0.32603,0.396,,,,,,
5a5cd60c401650043551c33f344c8522,0.0035004,0.0029988,1.1673,0.000,0.007,0.33013,0.035,,,,,,
59111ed2b5c7a78036145fe7f4a3170e,0.0033599,0.0025946,1.295,0.008,0.001,0.33407,0.001,,,,,,
ae479b4bbe87136f90617e4b60e0809d,0.0032176,0.0024441,1.3164,0.007,0.004,0.33784,0.178,,,,,,
975bbb15e1bc428ab55545e49cd0ab0a,0.0032073,0.0026439,1.2131,0.007,0.002,0.34159,0.04,,,,,,
36bed99a05ff0973efc3e5562b5d6e28,0.003133,0.0030043,1.0428,0.008,0.003,0.34526,0.042,,,,,,
c3a08566277bd681ab268aace5f8923a,0.0031132,0.0023221,1.3407,0.007,0.003,0.34891,0.091,,,,,,
3ef30ae6190d7ec4ab780864b65062b1,0.0030919,0.0028718,1.0767,0.005,0.004,0.35253,0.328,,,,,,
5c340209bca12d4034a139386615349b,0.0025306,0.0019412,1.3036,0.006,0.001,0.35549,0.01,,,,,,
35285e0b35e2396838a0800172095416,0.0025158,0.0019053,1.3204,0.007,0.003,0.35844,0.04,,,,,,
c031b1c0a6f324233d35167858f8c76e,0.0024741,0.0022354,1.1068,0.005,0.001,0.36134,0.015,,,,,,
5413ad2c5729be14493b49af972cf085,0.0024732,0.0023294,1.0617,0.005,0.001,0.36423,0.001,,,,,,
0cd744d9d979da3dcd5a8bec776edf1e,0.0022788,0.0023397,0.974,0.005,0.001,0.3669,0.01,,,,,,
a074c35e6de0073cfdcd775716eee722,0.0022316,0.0016727,1.3341,0.005,0.002,0.36952,0.026,,,,,,
b16c16970e3ee6ec3c24c49ed9f8cc6a,0.0020896,0.0018914,1.1048,0.003,0.003,0.37196,0.734,,,,,,
bb65155b04a84a8d49da48d4264f6c44,0.0020157,0.0033007,0.6107,0.004,0.000,0.37432,0.003,,,,,,
1550ff2a2b7e8ac38fc9936e68efa6de,0.0019789,0.0021123,0.9368,0.002,0.003,0.37664,0.748,,,,,,
85feda73cf45ba235f7adafc232dff67,0.0019313,0.0017865,1.0811,0.000,0.004,0.3789,0.053,,,,,,
fedccd0258e3038f73925aec236cc253,0.001923,0.0018553,1.0365,0.003,0.003,0.38116,0.511,,,,,,
83d87636f7c1e16711fd986cd885356a,0.0018913,0.0012753,1.483,0.004,0.002,0.38337,0.045,,,,,,
dc8a27d3628bd0f7ea10d0f820db0d87,0.0018523,0.0017155,1.0798,0.000,0.004,0.38554,0.053,,,,,,
741479682e344564dba3c9f4448deb11,0.001794,0.0013796,1.3004,0.004,0.001,0.38764,0.006,,,,,,
36b8db5beb5e71164b57f68772e5b3c0,0.0017765,0.0013024,1.3641,0.004,0.001,0.38972,0.002,,,,,,
445ee6061fa77267c4fa895b8f3f270b,0.0017223,0.0048608,0.3543,0.003,0.000,0.39174,0.304,,,,,,
1831fd8ea3a8292b26e2c75ef620e335,0.0016999,0.0048325,0.3518,0.003,0.000,0.39373,0.448,,,,,,
3ce1a6014257a94a37b9654e002e7ac7,0.0016666,0.0015355,1.0854,0.000,0.003,0.39568,0.053,,,,,,
86131855ab9d1ae4d518f3b8c4499ce8,0.0015506,0.001627,0.9531,0.003,0.002,0.3975,0.159,,,,,,
e4e29f4e32d5afaac40750035098ff69,0.001512,0.0011332,1.3342,0.004,0.001,0.39927,0.037,,,,,,
72b5e7b223e0904d6dd5bfea86bdae1c,0.0014971,0.0016992,0.8811,0.002,0.002,0.40102,0.087,,,,,,
09000ccbd756ad8d6fbb3b18380667b1,0.0014944,0.0010161,1.4707,0.004,0.001,0.40277,0.01,,,,,,
5c1a02107d6f21edc9e94690ac5a721c,0.0014749,0.0013641,1.0813,0.002,0.003,0.4045,0.033,,,,,,
ad2d7c08a9aef630d6e76cf17e48128e,0.0014699,0.0009651,1.523,0.003,0.003,0.40622,0.359,,,,,,
9a34ece1209d1fde1e9669633fd10e43,0.0014481,0.0017673,0.8194,0.003,0.000,0.40792,0.027,,,,,,
7afb4eaa55c3584021938e207877254a,0.0014386,0.0023156,0.6212,0.003,0.000,0.4096,0.009,,,,,,
c54d53cfb5fc4c67c8df310beac5563a,0.0014311,0.001501,0.9535,0.003,0.000,0.41128,0.019,,,,,,
aef6a4edc1176fcf96f7651578bd6016,0.0014114,0.0012473,1.1316,0.003,0.001,0.41293,0.021,,,,,,
c307fea40bd867ba363a02a65246ce0f,0.0013917,0.0010854,1.2823,0.003,0.001,0.41456,0.017,,,,,,
53350ec4d8726c24b94dcd543361ad72,0.0013713,0.0009741,1.4077,0.003,0.002,0.41617,0.235,,,,,,
704ee699d1ee0b23a038e618fddca551,0.0013465,0.0020731,0.6495,0.001,0.002,0.41775,1,,,,,,
bc48222d182d92d06ff5b528bc3b10b6,0.0013453,0.0038243,0.3518,0.003,0.000,0.41932,0.474,,,,,,
5dd02d0f89c239fd1e9b6abf2a561130,0.0013395,0.001233,1.0864,0.000,0.003,0.42089,0.053,,,,,,
a2935c56ba4337f68dfa664c4cf438db,0.0013274,0.0014388,0.9225,0.002,0.002,0.42244,0.438,,,,,,
09cae4b25c1fd85d48766102d271a28e,0.0012417,0.0013022,0.9536,0.003,0.001,0.4239,0.299,,,,,,
91d688c973fa105eac82ae34536569bc,0.001234,0.0008632,1.4296,0.000,0.003,0.42534,0.019,,,,,,
9be58fd63b7c6a51214063a5a11701ca,0.0012218,0.0010333,1.1825,0.003,0.001,0.42677,0.082,,,,,,
908942b0f3f5b3a2fd1f435f3199cff1,0.0012124,0.0012577,0.964,0.002,0.000,0.42819,0.011,,,,,,
bc17a57fdb7451088e326bb258fe96cd,0.0011991,0.0010012,1.1977,0.000,0.002,0.4296,0.021,,,,,,
1a82ed30b21df275cd478cc0bdbea243,0.0011609,0.000947,1.2259,0.002,0.002,0.43096,0.571,,,,,,
062daff76602f04235c2d39d58315162,0.0011411,0.0010372,1.1002,0.000,0.002,0.4323,0.053,,,,,,
62caabf23dd7527dea093ab128a08f97,0.0011351,0.001995,0.569,0.002,0.000,0.43362,0.192,,,,,,
081f42427bf6cf3bb2471f4efec3520e,0.0011162,0.0009866,1.1314,0.000,0.002,0.43493,0.033,,,,,,
b1e1a93fb660f29f70d917a2bb0f4ca4,0.0011132,0.0015014,0.7415,0.002,0.001,0.43624,0.087,,,,,,
1740ae5a13944ca4573b7dd234aafe65,0.0011027,0.0009653,1.1422,0.002,0.001,0.43753,0.162,,,,,,
921fd25d03a061c69c933b995761e3cc,0.0010747,0.0007065,1.5212,0.002,0.002,0.43879,0.298,,,,,,
50623be4d44874cc1006600d7072bc1e,0.0010536,0.0019529,0.5395,0.001,0.001,0.44002,0.449,,,,,,
1fdf0daab6316265ed9cf6a082032aab,0.0010335,0.0012419,0.8322,0.002,0.000,0.44123,0.021,,,,,,
3bea6ea76dbf1a843b23845f3eb37776,0.0010326,0.0009883,1.0448,0.002,0.001,0.44244,0.015,,,,,,
334e1b08a0d169bc507c922d0ae22e75,0.0010317,0.0009502,1.0858,0.000,0.002,0.44365,0.053,,,,,,
838ba9720fb0bebf80c5e170ba3ed302,0.001027,0.0014902,0.6892,0.000,0.002,0.44485,0.496,,,,,,
953a9cb51803ff8b42e8f8aa07977eeb,0.0010139,0.0009871,1.0272,0.001,0.002,0.44604,0.879,,,,,,
d96163f7d03373e5f1cbd500e9f2b31c,0.0010051,0.0028574,0.3518,0.002,0.000,0.44722,0.446,,,,,,
3d63cb59551009d0741fdb214343a37e,0.0010003,0.0007248,1.3801,0.002,0.001,0.44839,0.164,,,,,,
8d23b20eb1eff01feedc313847cd3cf1,0.0009895,0.0009232,1.0719,0.002,0.000,0.44955,0.002,,,,,,
ca9895ffec4072e8a8056f95071a6ae0,0.0009846,0.0008953,1.0997,0.000,0.002,0.4507,0.053,,,,,,
6a330ec000eedc1cee67e78c3de804e7,0.0009812,0.002112,0.4646,0.002,0.000,0.45185,0.002,,,,,,
13fbde30f0ab2ba5761838907af2cf35,0.0009782,0.0013789,0.7094,0.002,0.000,0.45299,0.012,,,,,,
3b1d038f892594ce9511e49d096b9664,0.0009782,0.0005233,1.8691,0.002,0.001,0.45414,0.048,,,,,,
2fe7b144a276abb5108912d37dcf3dda,0.0009653,0.0006977,1.3836,0.002,0.001,0.45527,0.122,,,,,,
e0b3a3076b72694e956d16d198fb3673,0.0009568,0.0012053,0.7938,0.002,0.001,0.45639,0.175,,,,,,
edee3b06f9a1a0e4452148b2c2db9b26,0.0009566,0.000633,1.5111,0.002,0.001,0.45751,0.008,,,,,,
8d1e5ea5561053d23f311927e2f51382,0.0009562,0.0009291,1.0291,0.002,0.001,0.45863,0.233,,,,,,
f68daaca652da726aaabf841a3a3a4ba,0.0009474,0.0007427,1.2756,0.000,0.002,0.45974,0.02,,,,,,
a4db3e47155e9e61237c8574cbc141b1,0.0009327,0.0008137,1.1462,0.002,0.001,0.46083,0.341,,,,,,
ceed1b735857f63abd27d35d9fb1ab36,0.0009269,0.0011576,0.8007,0.002,0.000,0.46192,0.003,,,,,,
d1099e14450efe720a6b5844b64c63b6,0.000924,0.0007564,1.2215,0.000,0.002,0.463,0.022,,,,,,
cfcb37e283ab555974bab9bc45b5af2e,0.0009235,0.0005858,1.5766,0.002,0.001,0.46408,0.04,,,,,,
a9b1401740d872150411358392d9db70,0.0009211,0.000527,1.7478,0.002,0.001,0.46516,0.001,,,,,,
f94ffb9776c651feac270b6a92fbf90b,0.0009196,0.0009878,0.931,0.001,0.001,0.46624,0.888,,,,,,
a50e46127e32d57c3f21c21f1d4a7297,0.0009126,0.0007509,1.2153,0.000,0.002,0.46731,0.053,,,,,,
e4a1d4dee2e714b12d6192b0320e3f7e,0.0009077,0.0009741,0.9319,0.002,0.000,0.46837,0.019,,,,,,
6bd60643c27bb01d3c586791409c405a,0.0009051,0.0007715,1.1732,0.000,0.002,0.46943,0.024,,,,,,
8f1d7f295e3af78a9e37ea952ff9c462,0.0008916,0.001624,0.549,0.000,0.002,0.47047,0.574,,,,,,
c8a586e70ab968de5335f891d0611ee8,0.0008912,0.0009023,0.9877,0.001,0.001,0.47152,0.857,,,,,,
91481c71975f3ed491b2ff6616e49b88,0.0008884,0.0007921,1.1216,0.002,0.001,0.47256,0.197,,,,,,
fbc564307c8033fa85f6e2b2b747dd44,0.000887,0.001046,0.8479,0.001,0.001,0.4736,0.314,,,,,,
f804d39acb4f54b2e4305ae3fe498b84,0.0008746,0.0012975,0.6741,0.001,0.001,0.47462,0.733,,,,,,
537c74ffd014db338992a4ea919ebaab,0.0008718,0.0006642,1.3127,0.002,0.001,0.47564,0.044,,,,,,
0781d0e4e671a1b72345cb4f57eec072,0.0008712,0.0007403,1.1769,0.002,0.001,0.47666,0.005,,,,,,
99c30eab24277954ff2398c934baa9b0,0.0008617,0.0005595,1.5403,0.002,0.000,0.47767,0.002,,,,,,
8c6f90c72be3539c15d5b486554e8d5b,0.0008544,0.0006715,1.2723,0.002,0.000,0.47867,0.011,,,,,,
659670e3413e0f65881b6925ed25700d,0.0008502,0.0013843,0.6142,0.002,0.000,0.47967,0.004,,,,,,
a8f308e1456ccdafaa876695306cd1bd,0.0008431,0.0008772,0.9612,0.002,0.000,0.48066,0.004,,,,,,
416a936399a136808f3665e656bca9ea,0.0008263,0.0010475,0.7888,0.002,0.000,0.48162,0.098,,,,,,
f393b72f97c805b9c9ab2819ff621dec,0.0008246,0.0007666,1.0757,0.002,0.001,0.48259,0.191,,,,,,
5255381b13c4c17bb7d4fa5dca32e302,0.0008113,0.0005048,1.6074,0.002,0.001,0.48354,0.041,,,,,,
ca2d669a427209b537a806bc2838e34f,0.0008069,0.0008125,0.9931,0.002,0.000,0.48448,0.011,,,,,,
16eac0538114ac74e71ea2f1f4148fca,0.000804,0.0006103,1.3174,0.002,0.000,0.48543,0.001,,,,,,
a453f6c7b21798284714d66853e4a8d2,0.000803,0.0012331,0.6512,0.000,0.002,0.48637,0.334,,,,,,
03072970f407b24061bbbbfeec834ad8,0.000799,0.000945,0.8455,0.002,0.000,0.4873,0.052,,,,,,
cf5f5e11b78311f6e3dfe9acb2b6885e,0.0007926,0.000536,1.4786,0.002,0.001,0.48823,0.181,,,,,,
,,,,,,,,,,,,,
74f8324925049e692ded7c8f8131a7de,.,,,,,,,,,,,,
cb493cf3102179d939b8a47f700a786f,.,,,,,,,,,,,,
5c2b47983d92cc3cc09bc005906b2212,*,,,,,,,,,,,,
460704bd2880b6e0c87caa2070b20097,.,,,,,,,,,,,,
2d9c0927c41fe00977c4cc751b5c52b4,.,,,,,,,,,,,,
e65fd9bdecd6971a6df6257338244e89,.,,,,,,,,,,,,
e36bdf6700966998f0c6929b13db80ab,*,,,,,,,,,,,,
6cbb4ad4bea065572ee15c90299997ed,*,,,,,,,,,,,,
f6334d26ed150d46dab2e4dbb7dcde62,*,,,,,,,,,,,,
a62a51e3a2eadb103c0068a5f2ff3f3c,,,,,,,,,,,,,
f427cc77a3175ac760d5b1556b65ba17,.,,,,,,,,,,,,
b95192f739d4edba244aa50a65ad657d,.,,,,,,,,,,,,
adbb1498f1dcfeed13db8c9f228f5eb4,*,,,,,,,,,,,,
31739534355ac74cd21dbc6125cbfd0e,*,,,,,,,,,,,,
305fad7794af19b61bd043d53cde28ec,.,,,,,,,,,,,,
d1bf9c378fd51fc97553c2ef96454fa0,.,,,,,,,,,,,,
c2556d10d86d2961efe7110b18d380c7,.,,,,,,,,,,,,
dd026354b60cdddc45600d6e21d1ad06,**,,,,,,,,,,,,
3d7e76af82b4e3217c5fb4ea8ad5d444,.,,,,,,,,,,,,
f2d7b7ec22817e0585e8d3f87e4f6f6e,.,,,,,,,,,,,,
027c917c419e09b5b66c2747642eb31e,.,,,,,,,,,,,,
c589cbdd8688b77dc94a210eaab642fe,*,,,,,,,,,,,,
71397d31834db03b16bd61f99127825b,*,,,,,,,,,,,,
35ba0ce07309312135a5e61c896e5c8a,.,,,,,,,,,,,,
73e30b1f1823f15a6c68c6995d652764,,,,,,,,,,,,,
bbb6e6c8975ab0d16bb98dec11037d50,,,,,,,,,,,,,
5a5cd60c401650043551c33f344c8522,*,,,,,,,,,,,,
59111ed2b5c7a78036145fe7f4a3170e,***,,,,,,,,,,,,
ae479b4bbe87136f90617e4b60e0809d,,,,,,,,,,,,,
975bbb15e1bc428ab55545e49cd0ab0a,*,,,,,,,,,,,,
36bed99a05ff0973efc3e5562b5d6e28,*,,,,,,,,,,,,
c3a08566277bd681ab268aace5f8923a,.,,,,,,,,,,,,
3ef30ae6190d7ec4ab780864b65062b1,,,,,,,,,,,,,
5c340209bca12d4034a139386615349b,**,,,,,,,,,,,,
35285e0b35e2396838a0800172095416,*,,,,,,,,,,,,
c031b1c0a6f324233d35167858f8c76e,*,,,,,,,,,,,,
5413ad2c5729be14493b49af972cf085,***,,,,,,,,,,,,
0cd744d9d979da3dcd5a8bec776edf1e,**,,,,,,,,,,,,
a074c35e6de0073cfdcd775716eee722,*,,,,,,,,,,,,
b16c16970e3ee6ec3c24c49ed9f8cc6a,,,,,,,,,,,,,
bb65155b04a84a8d49da48d4264f6c44,**,,,,,,,,,,,,
1550ff2a2b7e8ac38fc9936e68efa6de,,,,,,,,,,,,,
85feda73cf45ba235f7adafc232dff67,.,,,,,,,,,,,,
fedccd0258e3038f73925aec236cc253,,,,,,,,,,,,,
83d87636f7c1e16711fd986cd885356a,*,,,,,,,,,,,,
dc8a27d3628bd0f7ea10d0f820db0d87,.,,,,,,,,,,,,
741479682e344564dba3c9f4448deb11,**,,,,,,,,,,,,
36b8db5beb5e71164b57f68772e5b3c0,**,,,,,,,,,,,,
445ee6061fa77267c4fa895b8f3f270b,,,,,,,,,,,,,
1831fd8ea3a8292b26e2c75ef620e335,,,,,,,,,,,,,
3ce1a6014257a94a37b9654e002e7ac7,.,,,,,,,,,,,,
86131855ab9d1ae4d518f3b8c4499ce8,,,,,,,,,,,,,
e4e29f4e32d5afaac40750035098ff69,*,,,,,,,,,,,,
72b5e7b223e0904d6dd5bfea86bdae1c,.,,,,,,,,,,,,
09000ccbd756ad8d6fbb3b18380667b1,**,,,,,,,,,,,,
5c1a02107d6f21edc9e94690ac5a721c,*,,,,,,,,,,,,
ad2d7c08a9aef630d6e76cf17e48128e,,,,,,,,,,,,,
9a34ece1209d1fde1e9669633fd10e43,*,,,,,,,,,,,,
7afb4eaa55c3584021938e207877254a,**,,,,,,,,,,,,
c54d53cfb5fc4c67c8df310beac5563a,*,,,,,,,,,,,,
aef6a4edc1176fcf96f7651578bd6016,*,,,,,,,,,,,,
c307fea40bd867ba363a02a65246ce0f,*,,,,,,,,,,,,
53350ec4d8726c24b94dcd543361ad72,,,,,,,,,,,,,
704ee699d1ee0b23a038e618fddca551,,,,,,,,,,,,,
bc48222d182d92d06ff5b528bc3b10b6,,,,,,,,,,,,,
5dd02d0f89c239fd1e9b6abf2a561130,.,,,,,,,,,,,,
a2935c56ba4337f68dfa664c4cf438db,,,,,,,,,,,,,
09cae4b25c1fd85d48766102d271a28e,,,,,,,,,,,,,
91d688c973fa105eac82ae34536569bc,*,,,,,,,,,,,,
9be58fd63b7c6a51214063a5a11701ca,.,,,,,,,,,,,,
908942b0f3f5b3a2fd1f435f3199cff1,*,,,,,,,,,,,,
bc17a57fdb7451088e326bb258fe96cd,*,,,,,,,,,,,,
1a82ed30b21df275cd478cc0bdbea243,,,,,,,,,,,,,
062daff76602f04235c2d39d58315162,.,,,,,,,,,,,,
62caabf23dd7527dea093ab128a08f97,,,,,,,,,,,,,
081f42427bf6cf3bb2471f4efec3520e,*,,,,,,,,,,,,
b1e1a93fb660f29f70d917a2bb0f4ca4,.,,,,,,,,,,,,
1740ae5a13944ca4573b7dd234aafe65,,,,,,,,,,,,,
921fd25d03a061c69c933b995761e3cc,,,,,,,,,,,,,
50623be4d44874cc1006600d7072bc1e,,,,,,,,,,,,,
1fdf0daab6316265ed9cf6a082032aab,*,,,,,,,,,,,,
3bea6ea76dbf1a843b23845f3eb37776,*,,,,,,,,,,,,
334e1b08a0d169bc507c922d0ae22e75,.,,,,,,,,,,,,
838ba9720fb0bebf80c5e170ba3ed302,,,,,,,,,,,,,
953a9cb51803ff8b42e8f8aa07977eeb,,,,,,,,,,,,,
d96163f7d03373e5f1cbd500e9f2b31c,,,,,,,,,,,,,
3d63cb59551009d0741fdb214343a37e,,,,,,,,,,,,,
8d23b20eb1eff01feedc313847cd3cf1,**,,,,,,,,,,,,
ca9895ffec4072e8a8056f95071a6ae0,.,,,,,,,,,,,,
6a330ec000eedc1cee67e78c3de804e7,**,,,,,,,,,,,,
13fbde30f0ab2ba5761838907af2cf35,*,,,,,,,,,,,,
3b1d038f892594ce9511e49d096b9664,*,,,,,,,,,,,,
2fe7b144a276abb5108912d37dcf3dda,,,,,,,,,,,,,
e0b3a3076b72694e956d16d198fb3673,,,,,,,,,,,,,
edee3b06f9a1a0e4452148b2c2db9b26,**,,,,,,,,,,,,
8d1e5ea5561053d23f311927e2f51382,,,,,,,,,,,,,
f68daaca652da726aaabf841a3a3a4ba,*,,,,,,,,,,,,
a4db3e47155e9e61237c8574cbc141b1,,,,,,,,,,,,,
ceed1b735857f63abd27d35d9fb1ab36,**,,,,,,,,,,,,
d1099e14450efe720a6b5844b64c63b6,*,,,,,,,,,,,,
cfcb37e283ab555974bab9bc45b5af2e,*,,,,,,,,,,,,
a9b1401740d872150411358392d9db70,***,,,,,,,,,,,,
f94ffb9776c651feac270b6a92fbf90b,,,,,,,,,,,,,
a50e46127e32d57c3f21c21f1d4a7297,.,,,,,,,,,,,,
e4a1d4dee2e714b12d6192b0320e3f7e,*,,,,,,,,,,,,
6bd60643c27bb01d3c586791409c405a,*,,,,,,,,,,,,
8f1d7f295e3af78a9e37ea952ff9c462,,,,,,,,,,,,,
c8a586e70ab968de5335f891d0611ee8,,,,,,,,,,,,,
91481c71975f3ed491b2ff6616e49b88,,,,,,,,,,,,,
fbc564307c8033fa85f6e2b2b747dd44,,,,,,,,,,,,,
f804d39acb4f54b2e4305ae3fe498b84,,,,,,,,,,,,,
537c74ffd014db338992a4ea919ebaab,*,,,,,,,,,,,,
0781d0e4e671a1b72345cb4f57eec072,**,,,,,,,,,,,,
99c30eab24277954ff2398c934baa9b0,**,,,,,,,,,,,,
8c6f90c72be3539c15d5b486554e8d5b,*,,,,,,,,,,,,
659670e3413e0f65881b6925ed25700d,**,,,,,,,,,,,,
a8f308e1456ccdafaa876695306cd1bd,**,,,,,,,,,,,,
416a936399a136808f3665e656bca9ea,.,,,,,,,,,,,,
f393b72f97c805b9c9ab2819ff621dec,,,,,,,,,,,,,
5255381b13c4c17bb7d4fa5dca32e302,*,,,,,,,,,,,,
ca2d669a427209b537a806bc2838e34f,*,,,,,,,,,,,,
16eac0538114ac74e71ea2f1f4148fca,***,,,,,,,,,,,,
a453f6c7b21798284714d66853e4a8d2,,,,,,,,,,,,,
03072970f407b24061bbbbfeec834ad8,.,,,,,,,,,,,,
cf5f5e11b78311f6e3dfe9acb2b6885e,,,,,,,,,,,,,
,[,reached,'max',/,"getOption(""max.print"")",--,omitted,16391,rows,],,,
---,,,,,,,,,,,,,
Signif.,codes:,0,‘***’,0.001,‘**’,0.01,‘*’,0.05,‘.’,0.1,‘,’,1
Permutation:,free,,,,,,,,,,,,
Number,of,permutations:,999,,,,,,,,,,
Number of permutations: 999,,,,,,,,,,,,,
